AAo	85.3	73.4	63.9	55.9	49.2	43.6	38.8
KKo	82.4	68.9	58.2	49.8	43	37.5	32.9
QQo	79.9	64.9	53.5	44.7	37.9	32.5	28.3
AKs	67	50.7	41.4	35.4	31.1	27.7	25
AQs	66.1	49.4	39.9	33.7	29.4	26	23.3
JJo	77.5	61.2	49.2	40.3	33.6	28.5	24.6
KQs	63.4	47.1	38.2	32.5	28.3	25.1	22.5
AJs	65.4	48.2	38.5	32.2	27.8	24.5	22
KJs	62.6	45.9	36.8	31.1	26.9	23.8	21.3
ATs	64.7	47.1	37.2	31	26.7	23.5	21
AKo	65.4	48.2	38.6	32.4	27.9	24.4	21.6
TTo	75.1	57.7	45.2	36.4	30	25.3	21.8
QJs	60.3	44.1	35.6	30.1	26.1	23	20.7
KTs	61.9	44.9	35.7	29.9	25.8	22.8	20.4
QTs	59.5	43.1	34.6	29.1	25.2	22.3	19.9
JTs	57.5	41.9	33.8	28.5	24.7	21.9	19.7
99o	72.1	53.5	41.1	32.6	26.6	22.4	19.4
AQo	64.5	46.8	36.9	30.4	25.9	22.5	19.7
A9s	63	44.8	34.6	28.4	24.2	21.1	18.8
KQo	61.4	44.4	35.2	29.3	25.1	21.8	19.1
T9s	54.3	38.9	31	26	22.5	19.8	17.8
A8s	62.1	43.7	33.6	27.4	23.3	20.3	18
K9s	60	42.4	32.9	27.2	23.2	20.3	18.1
J9s	55.8	39.6	31.3	26.1	22.4	19.7	17.6
A5s	59.9	41.4	31.8	26	22.2	19.6	17.5
Q9s	57.9	40.7	31.9	26.4	22.5	19.7	17.6
88o	69.1	49.9	37.5	29.4	24	20.3	17.7
AJo	63.6	45.6	35.4	28.9	24.4	21	18.3
A7s	61.1	42.6	32.6	26.5	22.5	19.6	17.4
A4s	58.9	40.4	30.9	25.3	21.6	19	17
A6s	60	41.3	31.4	25.6	21.7	19	16.9
A3s	58	39.4	30	24.6	21	18.5	16.6
KJo	60.6	43.1	33.6	27.6	23.5	20.2	17.7
QJo	58.2	41.4	32.6	26.9	22.9	19.8	17.3
77o	66.2	46.4	34.4	26.8	21.9	18.6	16.4
T8s	52.6	36.9	29	24	20.6	18.1	16.2
K8s	58.5	40.2	30.8	25.1	21.3	18.6	16.5
ATo	62.9	44.4	34.1	27.6	23.1	19.8	17.2
A2s	57	38.5	29.2	23.9	20.4	18	16.1
98s	51.1	36	28.5	23.6	20.2	17.8	15.9
K7s	57.8	39.4	30.1	24.5	20.8	18.1	16
Q8s	56.2	38.6	29.7	24.4	20.7	18	16
J8s	54.2	37.5	29.1	24	20.5	17.9	15.9
KTo	59.9	42	32.5	26.5	22.3	19.2	16.7
JTo	55.4	39	30.7	25.3	21.5	18.6	16.3
66o	63.3	43.2	31.5	24.5	20.1	17.3	15.4
QTo	57.4	40.2	31.3	25.7	21.6	18.6	16.3
K6s	56.8	38.4	29.1	23.7	20.1	17.5	15.6
87s	48.2	33.9	26.6	22	18.9	16.7	15
K5s	55.8	37.4	28.2	23	19.5	17	15.2
97s	49.5	34.2	26.8	22.1	18.9	16.6	14.9
T7s	51	34.9	27	22.2	19	16.6	14.8
K4s	54.7	36.4	27.4	22.3	19	16.6	14.8
76s	45.7	32	25.1	20.8	18	15.9	14.4
55o	60.3	40.1	28.8	22.4	18.5	16	14.4
K3s	53.8	35.5	26.7	21.7	18.4	16.2	14.5
Q7s	54.5	36.7	27.9	22.7	19.2	16.7	14.8
44o	57	36.8	26.3	20.6	17.3	15.2	13.9
J7s	52.4	35.4	27.1	22.2	18.9	16.4	14.6
33o	53.7	33.5	23.9	19	16.2	14.6	13.5
22o	50.3	30.7	22	17.8	15.5	14.2	13.3
K2s	52.9	34.6	26	21.2	18.1	15.9	14.3
86s	46.5	32	25	20.6	17.6	15.6	14.1
65s	43.2	30.2	23.7	19.7	17	15.2	13.8
Q6s	53.8	35.8	27.1	21.9	18.5	16.1	14.3
54s	41.1	28.8	22.6	18.9	16.5	14.8	13.5
Q5s	52.9	34.9	26.3	21.4	18.1	15.8	14.1
96s	47.7	32.3	24.9	20.4	17.4	15.3	13.7
75s	43.8	30.1	23.4	19.4	16.7	14.8	13.4
Q4s	51.7	33.9	25.5	20.7	17.6	15.4	13.7
T9o	51.7	35.7	27.7	22.5	18.9	16.2	14.1
A9o	60.9	41.8	31.2	24.7	20.3	17.1	14.7
T6s	49.2	32.8	25.1	20.5	17.4	15.2	13.6
Q3s	50.7	33	24.7	20.1	17	14.9	13.3
J6s	50.8	33.6	25.4	20.6	17.4	15.2	13.5
